SurveyYear,QuantitySold,ValueSold,Region,MineralType
1998,7715,38574,Northland,"Rock, sand and gravel for roading"
1998,9888,49440,Northland,"Rock, sand and gravel for roading"
1998,0,0,Taranaki,Other
1998,2940,15840,Taranaki,"Rock, sand and gravel for roading"
1998,16257,92275,Bay of Plenty,Pumice
1998,3222,6246,Bay of Plenty,"Rock, sand, gravel and clay for fill"
1998,2000,20000,Waikato,"Rock, sand and gravel for roading"
1998,119,1190,Otago,Building and dimension stone
1998,677,4230,Auckland,"Rock, sand, gravel and clay for fill"
1998,12562,138182,Northland,Limestone for agriculture
1998,20000,280000,Canterbury,"Rock, sand and gravel for roading"
1998,12000,120000,Auckland,"Rock, sand and gravel for roading"
1998,4136,20680,Nelson/Tasman,"Rock, sand, gravel and clay for fill"
1998,1955,29325,Nelson/Tasman,"Rock, sand and gravel for building"
1998,23034,7198,Otago,"Rock, sand and gravel for roading"
1998,3420,26997.48,Otago,"Rock, sand and gravel for building"
1998,30034,10558.68,Otago,"Rock, sand and gravel for roading"
1998,1795,18672.05,Otago,"Rock, sand and gravel for building"
1998,0,0,Otago,Nil Output
1998,626,2100,Canterbury,Rock for reclamation and protection
1998,836,8778,Canterbury,"Rock, sand, gravel and clay for fill"
1998,121,3919.5,Canterbury,"Rock, sand and gravel for building"
1998,0,0,Canterbury,"Rock, sand and gravel for roading"
1998,1229,21404,Canterbury,Limestone for industry
1998,10899,185103,Canterbury,Limestone for agriculture
1998,139,2198,Canterbury,Rock for reclamation and protection
1998,3005,15571.12,Otago,"Rock, sand and gravel for roading"
1998,3704,37011.38,Otago,"Rock, sand and gravel for building"
1998,16000,176000,Canterbury,"Rock, sand and gravel for building"
1998,17000,187000,Canterbury,"Rock, sand and gravel for roading"
1998,38000,450000,Canterbury,"Rock, sand and gravel for roading"
1998,2000,30000,Canterbury,Limestone for agriculture
1998,5000,50000,West Coast,"Rock, sand and gravel for roading"
1998,5000,50000,West Coast,"Rock, sand and gravel for roading"
1998,3690,21730,Northland,"Rock, sand and gravel for roading"
1998,5000,25000,Northland,"Rock, sand and gravel for roading"
1998,3043,21301,Northland,Limestone for industry
1998,22303,278793,Northland,Limestone for agriculture
1998,25000,350000,Northland,Limestone for agriculture
1998,8000,40000,Northland,"Rock, sand and gravel for roading"
1998,178816,2819788,Southland,Limestone for agriculture
1998,9680,116160,Northland,"Rock, sand and gravel for roading"
1998,2000,20000,Waikato,"Rock, sand and gravel for roading"
1998,9088,52378.13,Waikato,"Rock, sand and gravel for roading"
1998,11000,110000,Northland,"Rock, sand and gravel for roading"
1998,30000,480000,Southland,Limestone for agriculture
1998,5000,50000,Canterbury,"Rock, sand and gravel for roading"
1998,495,89790,Hawkes Bay,Bentonite
1998,1520,4800,Canterbury,"Rock, sand, gravel and clay for fill"
1998,2400,22500,Canterbury,"Rock, sand and gravel for building"
1998,0,0,Otago,Nil Output
1998,100,1000,Canterbury,"Rock, sand and gravel for building"
1998,1000,10000,Bay of Plenty,"Rock, sand and gravel for roading"
1998,1728,14202,Northland,"Rock, sand and gravel for roading"
1998,18612,133300.3,Northland,"Rock, sand and gravel for roading"
1998,3980,34281.8,Northland,"Rock, sand and gravel for building"
1998,21875,332632.33,Northland,Limestone for agriculture
1998,69336,631313.06,Northland,"Rock, sand and gravel for roading"
1998,17267,227192.97,Northland,"Rock, sand and gravel for building"
1998,0,0,Northland,"Rock, sand and gravel for roading"
1998,7799,109631.49,Northland,Limestone for agriculture
1998,2367,19852.76,Northland,"Rock, sand and gravel for roading"
1998,0,0,Northland,"Rock, sand and gravel for roading"
1998,13165,123858.65,Northland,"Rock, sand and gravel for building"
1998,14496,118362.15,Northland,"Rock, sand and gravel for roading"
1998,7973,79730,Nelson/Tasman,"Rock, sand, gravel and clay for fill"
1998,1360,5440,Nelson/Tasman,Limestone for agriculture
1998,7973,79730,Nelson/Tasman,"Rock, sand and gravel for roading"
1998,0,0,Canterbury,"Clay for brick, tiles etc"
1998,3378,4628.86,Otago,"Rock, sand and gravel for building"
1998,3164,0,Bay of Plenty,"Rock, sand and gravel for building"
1998,52923,700113,Otago,"Rock, sand and gravel for roading"
1998,6360,107988,Otago,Sand for industry
1998,13710,227250,Otago,"Rock, sand and gravel for building"
1998,18011,204836,Otago,"Rock, sand, gravel and clay for fill"
1998,200,1000,Canterbury,"Rock, sand and gravel for roading"
1998,3000,25500,Auckland,Limestone for agriculture
1998,88000,275000,Auckland,Limestone for agriculture
1998,3000,30000,Auckland,"Rock, sand and gravel for roading"
1998,6400,20000,Waikato,"Rock, sand and gravel for roading"
1998,864,170931,Northland,Building and dimension stone
1998,16000,80000,Northland,"Rock, sand and gravel for roading"
1998,40,400,Canterbury,"Rock, sand and gravel for roading"
1998,88,440,Canterbury,"Rock, sand and gravel for roading"
1998,15839,221587.61,Wellington,"Rock, sand and gravel for roading"
1998,618,3430,Wellington,Rock for reclamation and protection
1998,6048,84605.36,Wellington,"Rock, sand and gravel for roading"
1998,297,1647.12,Wellington,Rock for reclamation and protection
1998,5918,32844.9,Wellington,Rock for reclamation and protection
1998,3353,3353,Waikato,"Rock, sand and gravel for roading"
1998,400,800,Canterbury,"Rock, sand and gravel for roading"
1998,31911,159555,Manawatu/Wanganui,"Rock, sand and gravel for roading"
1998,22000,211200,Taranaki,"Rock, sand and gravel for roading"
1998,0,0,Otago,Nil Output
1998,67760,675607,Waikato,"Rock, sand and gravel for roading"
1998,6498,32490,Manawatu/Wanganui,"Rock, sand and gravel for roading"
1998,28240,452172,Manawatu/Wanganui,"Rock, sand and gravel for roading"
1998,43250,227190,Manawatu/Wanganui,"Rock, sand and gravel for roading"
1998,41070,227093,Manawatu/Wanganui,"Rock, sand and gravel for roading"
1998,7240,99260,Waikato,Decorative pebbles including scoria
1998,15910,53021,Waikato,Pumice
1998,1600,2000,Manawatu/Wanganui,"Rock, sand and gravel for roading"
1998,1200,900,Canterbury,"Rock, sand and gravel for roading"
1998,645,4505,Nelson/Tasman,Rock for reclamation and protection
1998,3800,41800,Nelson/Tasman,"Rock, sand and gravel for roading"
1998,1540,32340,Nelson/Tasman,"Rock, sand and gravel for building"
1998,1850,40700,Nelson/Tasman,"Rock, sand and gravel for roading"
1998,2350,11750,Southland,"Rock, sand and gravel for roading"
1998,718,359,Otago,"Rock, sand and gravel for roading"
1998,20000,160000,Waikato,"Rock, sand and gravel for roading"
1998,8807,11345.06,Otago,"Rock, sand and gravel for roading"
1998,4000,2000,Canterbury,"Rock, sand and gravel for building"
1998,0,0,Canterbury,Other
1998,25000,350000,Canterbury,Limestone for agriculture
1998,14500,145000,Canterbury,Rock for reclamation and protection
1998,1000,10000,Marlborough,"Rock, sand and gravel for roading"
1998,750,6000,Otago,"Rock, sand and gravel for roading"
1998,2000,20000,Bay of Plenty,"Rock, sand and gravel for roading"
1998,24000,144000,Canterbury,"Rock, sand and gravel for roading"
1998,0,0,Hawkes Bay,"Rock, sand and gravel for roading"
1998,1600,8000,Hawkes Bay,"Rock, sand and gravel for roading"
1998,0,0,Hawkes Bay,"Rock, sand and gravel for roading"
1998,0,0,Hawkes Bay,"Rock, sand and gravel for roading"
1998,0,0,Hawkes Bay,Nil Output
1998,0,0,Hawkes Bay,"Rock, sand and gravel for building"
1998,800,4000,Bay of Plenty,"Rock, sand and gravel for roading"
1998,2000,10000,Auckland,"Rock, sand and gravel for roading"
1998,3750,18750,Northland,"Rock, sand and gravel for roading"
1998,0,0,Northland,Nil Output
1998,3500,17500,Northland,"Rock, sand and gravel for roading"
1998,4500,22500,Northland,"Rock, sand and gravel for roading"
1998,0,0,Auckland,Nil Output
1998,6000,30000,Waikato,"Rock, sand and gravel for roading"
1998,48465,581585.4,Canterbury,Limestone for agriculture
1998,68460,68460,Hawkes Bay,"Rock, sand and gravel for roading"
1998,7606,7606,Hawkes Bay,"Rock, sand and gravel for building"
1998,13079,156948,Hawkes Bay,"Rock, sand and gravel for roading"
1998,1453,17436,Hawkes Bay,"Rock, sand and gravel for building"
1998,9000,90000,Wellington,Limestone for agriculture
1998,0,0,Otago,"Rock, sand and gravel for roading"
1998,0,0,Otago,"Rock, sand and gravel for roading"
1998,0,0,Otago,"Rock, sand and gravel for roading"
1998,0,0,Otago,"Rock, sand and gravel for roading"
1998,0,0,Otago,"Rock, sand and gravel for roading"
1998,0,0,Otago,"Rock, sand and gravel for roading"
1998,0,0,Otago,"Rock, sand and gravel for roading"
1998,3100,15500,Chatham Islands,"Rock, sand and gravel for roading"
1998,4237,21185,Chatham Islands,"Rock, sand and gravel for roading"
1998,4000,56000,Canterbury,Limestone for agriculture
1998,10000,100000,Waikato,"Rock, sand and gravel for roading"
1998,42500,297500,Canterbury,"Rock, sand and gravel for building"
1998,42500,297500,Canterbury,"Rock, sand and gravel for roading"
1998,4000,8000,Canterbury,"Rock, sand and gravel for building"
1998,79000,237000,Canterbury,"Rock, sand and gravel for building"
1998,1100,16500,Canterbury,Limestone for agriculture
1998,100,750,Canterbury,"Rock, sand and gravel for roading"
1998,100,750,Canterbury,"Rock, sand and gravel for roading"
1998,0,0,Taranaki,"Rock, sand and gravel for roading"
1998,30000,300000,Canterbury,"Rock, sand and gravel for roading"
1998,5000,50000,Nelson/Tasman,"Rock, sand and gravel for roading"
1998,5000,50000,Nelson/Tasman,"Rock, sand and gravel for building"
1998,13496,97244,Bay of Plenty,"Rock, sand and gravel for building"
1998,26393,418541.99,Bay of Plenty,"Rock, sand and gravel for roading"
1998,2600,41845,Bay of Plenty,Rock for reclamation and protection
1998,0,0,Otago,Nil Output
1998,0,0,Otago,Nil Output
1998,4712,70686.75,Waikato,"Rock, sand and gravel for roading"
1998,2022,76829.16,Waikato,"Rock, sand and gravel for building"
1998,4050,26810.47,Waikato,"Rock, sand, gravel and clay for fill"
1998,5000,50000,Marlborough,"Rock, sand and gravel for roading"
1998,0,0,Marlborough,"Rock, sand and gravel for roading"
1998,5957,25317,Southland,"Rock, sand and gravel for roading"
1998,10287,169742.1,West Coast,Limestone for agriculture
1998,15830,158300,Waikato,"Clay for brick, tiles etc"
1998,4277,42770,Auckland,"Clay for brick, tiles etc"
1998,6813,68130,Waikato,"Clay for brick, tiles etc"
1998,3600,36004,Hawkes Bay,Rock for reclamation and protection
1998,5000,50000,Waikato,"Rock, sand and gravel for roading"
1998,100,10000,Otago,Building and dimension stone
1998,8750,48200,Southland,"Rock, sand and gravel for roading"
1998,168,16750,Otago,Building and dimension stone
1998,600,300,West Coast,Rock for reclamation and protection
1998,0,0,Otago,"Rock, sand and gravel for roading"
1998,10000,50000,Southland,"Rock, sand and gravel for roading"
1998,3707,61200,Bay of Plenty,"Rock, sand and gravel for building"
1998,216,108,Otago,"Rock, sand and gravel for roading"
1998,10000,100000,Waikato,"Rock, sand and gravel for building"
1998,1000,10000,Waikato,"Rock, sand and gravel for roading"
1998,9584,47920,Northland,"Rock, sand and gravel for roading"
1998,35000,560000,Southland,Limestone for agriculture
1998,500,5000,Taranaki,"Rock, sand and gravel for roading"
1998,4800,2400,Taranaki,"Rock, sand and gravel for roading"
1998,45000,432000,Manawatu/Wanganui,"Rock, sand and gravel for roading"
1998,11,35300,Southland,"Clay for brick, tiles etc"
1998,1000,11000,Otago,"Rock, sand and gravel for roading"
1998,500,4250,Otago,Rock for reclamation and protection
1998,12000,102000,Otago,"Rock, sand and gravel for roading"
1998,2611,39690,Otago,"Rock, sand and gravel for roading"
1998,0,0,Otago,Nil Output
1998,5000,40000,Northland,"Rock, sand and gravel for roading"
1998,7000,56000,Northland,"Rock, sand and gravel for roading"
1998,7000,56000,Northland,"Rock, sand and gravel for roading"
1998,7000,56000,Northland,"Rock, sand and gravel for roading"
1998,50000,500000,Canterbury,"Rock, sand and gravel for roading"
1998,0,0,Canterbury,Not Operating
1998,1752,17520,Canterbury,"Rock, sand and gravel for building"
1998,4618,6493.5,Otago,"Rock, sand, gravel and clay for fill"
1998,276,3110.62,Otago,Building and dimension stone
1998,43,478.12,Otago,Building and dimension stone
1998,14140,56565.8,Gisborne,"Rock, sand and gravel for roading"
1998,21371,85492.76,Waikato,"Rock, sand and gravel for roading"
1998,620,3100,Otago,"Rock, sand and gravel for roading"
1998,5622,28110,Otago,"Rock, sand and gravel for roading"
1998,18000,162000,Hawkes Bay,"Rock, sand and gravel for roading"
1998,27200,170000,Nelson/Tasman,"Rock, sand and gravel for roading"
1998,80292,200258.91,Waikato,"Rock, sand and gravel for roading"
1998,80292,200258.91,Waikato,"Rock, sand and gravel for building"
1998,3709,37090,Northland,"Rock, sand and gravel for roading"
1998,0,0,Northland,"Rock, sand and gravel for roading"
1998,74,740,Northland,"Rock, sand and gravel for roading"
1998,206,2060,Northland,"Rock, sand and gravel for roading"
1998,22,220,Northland,"Rock, sand and gravel for roading"
1998,0,0,Northland,Nil Output
1998,1645,16450,Northland,"Rock, sand and gravel for roading"
1998,4800,57600,West Coast,"Rock, sand and gravel for roading"
1998,10318,46431,West Coast,Rock for reclamation and protection
1998,3460,15570,West Coast,Rock for reclamation and protection
1998,19650,393000,Nelson/Tasman,Limestone for agriculture
1998,5190,41520,Nelson/Tasman,Rock for reclamation and protection
1998,6570,3942,Nelson/Tasman,"Rock, sand and gravel for roading"
1998,22718,386206,Southland,Limestone for agriculture
